Title,Region,Brand,Currency,Denomination,Discount,Product Type,Image
,Global,NBA 2K25 XBOX GAMES GLOBAL,,,,,
AED,Global,"NBA 2K25: 15,000 Virtual Currency Pack",AED,4.99,Check the portal,Live,
AED,Global,"NBA 2K25: 75,000 Virtual Currency Pack",AED,19.99,Check the portal,Live,
AED,Global,"NBA 2K25: 200,000 Virtual Currency Pack",AED,49.99,Check the portal,Live,
AED,Global,"NBA 2K25: 450,000 Virtual Currency Pack",AED,99.99,Check the portal,Live,
AED,Global,NBA 2K25: Standard Edition,AED,260,Check the portal,Live,
AED,Global,NBA 2K25: All-Star Edition,AED,365,Check the portal,Live,
AED,Global,NBA 2K25: All-Star Edition SA,AED,375,Check the portal,Live,
,,,,,,,
AED,Global,XBox Games Global,AED,"37 (1720 Coins), 73 (3500 Coins), 73, 73, 75, 90, 100 (2800 Points), 109,109, 109, 110, 110, 110, 136, 146, 147, 149, 156, 179, 183, 196, 200 (5850 Points), 219, 269, 269, 269, 289.94, 329, 339, 367, 379, 380 (12000 Points), 385",0.12,Live,
