Title,Country,Brand,Currency,Denomination,Discount/Fee,Product Type,Image
AUD,Australia,iCash.one,AUD,"10, 20, 50, 100",-0.01,Stocked,
BRL,Brazil,iCash.one,BRL,"10, 20, 50, 100, 250, 500",-0.01,Stocked,
CAD,Canada,iCash.one,CAD,"10, 20, 50, 100",0,Stocked,
INR,India,iCash.one,INR,"250, 500, 1000, 2000, 3000, 5000, 10000",-0.01,Stocked,
PLN,Poland,iCash.one,PLN,"50, 100, 150, 200, 300, 500",-0.01,Stocked,
AED,UAE,iCash.one,AED,"25, 50, 100, 250",-0.02,Stocked,
USD,USA,iCash.one,USD,"5, 10, 15, 20, 25, 30, 40, 50, 75, 100, 150, 200",-0.02,Stocked,
EUR,Europe,Bitsa EUR,EUR,"5, 10, 15, 20, 25, 30, 40, 50, 100, 150, 200, 250",-0.02,Stocked,
EUR,Europe,Bitnovo,EUR,"5, 10, 15, 20, 25, 30, 40, 50, 100, 150, 200",-0.02,Stocked,
USD,Global,Binance (USDT) Global,USD,1-500,-0.05,Live,
